
iex(2)>   {:ok, pid} = ExLCD.start_link({ExLCD.HD44780, []})

04:01:51.249 [info]  Write 00110000
04:01:51.250 [info]  Write 00110100
04:01:51.252 [info]  Write 00110000
04:01:51.253 [info]  Write 00110000
04:01:51.254 [info]  Write 00110100
04:01:51.255 [info]  Write 00110000
04:01:51.256 [info]  Write 00110000
04:01:51.257 [info]  Write 00110100
04:01:51.258 [info]  Write 00110000
04:01:51.259 [info]  Write 00100000
04:01:51.259 [info]  Write 00100100
04:01:51.261 [info]  Write 00100000
04:01:51.262 [info]  Write 00100000
04:01:51.262 [info]  Write 00100100
04:01:51.264 [info]  Write 00100000
04:01:51.265 [info]  Write 10000000
04:01:51.265 [info]  Write 10000100
04:01:51.267 [info]  Write 10000000
04:01:51.268 [info]  Write 00000000
04:01:51.268 [info]  Write 00000100
04:01:51.270 [info]  Write 00000000
04:01:51.271 [info]  Write 11000000
04:01:51.271 [info]  Write 11000100
04:01:51.273 [info]  Write 11000000
04:01:51.275 [info]  Write 00000000
04:01:51.275 [info]  Write 00000100
04:01:51.278 [info]  Write 00000000
04:01:51.278 [info]  Write 00010000
04:01:51.278 [info]  Write 00010100
04:01:51.281 [info]  Write 00010000
04:01:51.285 [info]  Write 00000000
04:01:51.286 [info]  Write 00000100
04:01:51.288 [info]  Write 00000000
04:01:51.288 [info]  Write 01110000
04:01:51.288 [info]  Write 01110100
04:01:51.291 [info]  Write 01110000
04:01:51.292 [info]  Write 00000000
04:01:51.293 [info]  Write 00000100
04:01:51.295 [info]  Write 00000000
04:01:51.296 [info]  Write 00100000
04:01:51.296 [info]  Write 00100100
04:01:51.298 [info]  Write 00100000

iex(3)> ExLCD.clear()

04:03:09.807 [info]  Write 00000000
04:03:09.807 [info]  Write 00000100
04:03:09.809 [info]  Write 00000000
04:03:09.810 [info]  Write 00010000
04:03:09.810 [info]  Write 00010100
04:03:09.812 [info]  Write 00010000
